(229,47b) (175,20f) #29#9#1d4#281#453#30e#3cd#38d#2dd#
(28f,3ef) (f35,1f15) #2c2#22e#2e1#173#394#1f9#22e#1f9#173#47#
(1db,673) (517,7a5) #187#46c#63c#54b#22#54b#180#46c#254#
(247,2bf) (1211,1f15) #146#c9#f0#c9#c9#193#c9#2b3#c9#2a3#12b#
(c5,485) (1211,1f15) #11f#45#2b8#45#45#109#45#3b#45#3a9#1c0#
(7cf,1dad) (517,7a5) #5f7#7be#1a61#15e7#1cee#15e7#176e#7be#b2f#
(71f,1c03) (19d,457) #32#194d#e14#1b9d#1702#ef1#13bc#1615#12b7#
(89,4f9) (19d,457) #3c3#2b3#156#41e#4d8#290#1f0#123#13f#
(1c3,f1d) (175,20f) #9a3#aee#de7#597#ec0#6ef#584#4ed#efd#
(13f,4f7) (517,7a5) #4cd#160#2b4#337#1a8#337#17c#160#148#
(22b5,2749) (19d,457) #a4a#160b#1374#17a2#6e4#f18#ccb#1782#1d3b#
(1c1,499) (1211,1f15) #286#455#199#455#455#37b#455#1bc#455#165#290#
(283,37d) (f35,1f15) #248#325#c8#1af#139#161#325#161#1af#346#
(391,2165) (19d,457) #79e#1d0b#1525#12a0#151c#df#13bc#caa#dca#
(1c7,4ed) (1211,1f15) #e#5f#e3#5f#5f#251#5f#3bb#5f#b7#250#
(671,1687) (19d,457) #1179#1162#244#13c8#2c0#e24#b03#fd4#12e4#
(4ff,9e9) (19d,457) #641#566#4ec#10f#2b1#497#5a2#86b#23#
(137,5b1) (19d,457) #2d#323#462#5a6#45f#21b#48c#38e#2fb#
(9c7,174b) (1211,1f15) #709#7ea#152d#7ea#7ea#14f2#7ea#cf4#7ea#435#cbe#
(121,2e1) (517,7a5) #2de#1ff#2d4#21#11e#21#236#1ff#27a#
(23d,2b9) (517,7a5) #f5#fd#79#bf#1c0#bf#e0#fd#a4#
(16f,1ccd) (f35,1f15) #1c46#1356#fee#653#1770#1930#1356#1930#653#1317#
(e27,1295) (175,20f) #333#41c#636#10c3#914#5e2#1152#ce3#bbd#
(121d,2f3b) (175,20f) #1ec3#1ae9#13e0#f7b#b6#1118#1396#13c3#13ea#
(b5d,d09) (19d,457) #5f7#240#5d8#479#24e#129#cbc#809#3f9#
(98f,abb) (1211,1f15) #a91#2f6#3f8#2f6#2f6#40f#2f6#14d#2f6#944#787#
(4f,21a3) (175,20f) #77#c3a#f07#13f5#56b#1441#1a6b#1af0#33f#
(a39,1fc9) (1211,1f15) #86f#645#110c#645#645#12fd#645#66#645#447#1e4a#
(3d1,b41) (19d,457) #ac9#732#624#272#7e6#3ad#ba#6d4#4b8#
(ed1,12fb) (517,7a5) #656#51#a45#207#2c#207#86a#51#49e#
(1d9,487) (517,7a5) #282#9b#2c6#d5#2e3#d5#3fe#9b#27d#
(463,6e3) (f35,1f15) #170#26f#15a#1d6#230#693#26f#693#1d6#290#
(713,bed) (1211,1f15) #61d#605#504#605#605#82#605#617#605#20d#6db#
(293d,2a37) (19d,457) #40e#1a05#23ab#26a9#820#1489#5fd#1402#1f69#
(817,e05) (175,20f) #3c5#dec#aea#2aa#bbc#d64#7a#87e#513#
(bf,d33) (f35,1f15) #80c#b70#aed#7d1#83f#4b6#b70#4b6#7d1#966#
(713,128b) (1211,1f15) #b56#a4b#6ae#a4b#a4b#1130#a4b#115d#a4b#78e#9b4#
(31d,abb) (175,20f) #a91#15#a09#838#a14#5cd#793#8a1#787#
(3ff,4a5) (f35,1f15) #a3#26f#1ac#e3#e#292#26f#292#e3#47c#
(353,431) (175,20f) #2b6#ff#23c#297#281#f#290#34c#21b#
(6cb,1e3b) (175,20f) #179d#742#1c98#1ade#1557#bb8#140c#13ee#1699#
(1069,1403) (1211,1f15) #909#a4e#dcc#a4e#a4e#171#a4e#56f#a4e#13a0#324#
(347,69b) (175,20f) #2f2#4b4#3f5#ad#61b#22f#2fb#433#295#
(1ca3,23cf) (1211,1f15) #1472#11#11c6#11#11#ae#11#1bc2#11#a64#13be#
(e7d,12d3) (517,7a5) #1113#8e8#2e0#d2d#9bb#d2d#8d#8e8#94e#
(977,1f57) (19d,457) #1f16#823#c23#a46#129c#705#1091#1433#6d1#
(6d9,e99) (517,7a5) #e92#e7#ae7#e6f#49c#e6f#932#e7#e08#
(26b,2ff) (517,7a5) #153#4f#3e#ac#2f#ac#250#4f#f5#
(439,d45) (19d,457) #522#362#742#b75#b98#9cf#303#1c2#7c5#
(f67,2bdb) (f35,1f15) #266#66#2170#16c9#12fd#848#66#848#16c9#136d#
(3b9,763) (19d,457) #339#61c#272#411#508#436#522#42b#4df#
(113,53b) (175,20f) #3dd#310#48e#27e#140#527#114#269#50e#
(13d,403) (19d,457) #b7#1e5#386#121#5#8f#264#3cb#3a#
(1e7,2e1) (f35,1f15) #14c#5d#39#179#11e#185#5d#185#179#237#
(a67,afd) (517,7a5) #131#96e#792#1f8#923#1f8#1e5#96e#7ff#
(3d9,629) (f35,1f15) #5fe#66#1d2#565#4b6#31#66#31#565#2c1#
(ac7,1535) (f35,1f15) #706#fbd#6b2#eaf#1d6#f9#fbd#f9#eaf#897#
(149,2e1) (175,20f) #81#169#176#1bd#63#18e#1dc#e0#12#
(18b7,1a0b) (f35,1f15) #ddf#c14#6f1#419#18ca#72e#c14#72e#419#776#
(1d,1627) (517,7a5) #db3#14b4#916#fdf#a3d#fdf#1536#14b4#10ec#
(1b2f,2165) (175,20f) #131f#1b29#17dd#b5#1a68#689#c59#1c29#2a9#
(ec5,ff7) (1211,1f15) #df#5e9#ef8#5e9#5e9#fe6#5e9#eef#5e9#9fa#3f9#
(21bb,2707) (19d,457) #402#713#192b#24bf#752#a04#20d8#24ad#24ba#
(4d,f7) (175,20f) #35#79#3d#4f#e2#2e#b9#a3#a2#
(365,bb1) (f35,1f15) #9ed#1c5#382#991#75b#8d4#1c5#8d4#991#520#
(607,775) (1211,1f15) #545#70e#567#70e#70e#720#70e#552#70e#21f#1b#
(8a5,a0d) (f35,1f15) #260#4ad#9ad#658#11#4c7#4ad#4c7#658#8bf#
(191,e81) (f35,1f15) #25a#211#194#613#625#3ce#211#3ce#613#c1a#
(49d,8f3) (175,20f) #434#37f#469#83c#49a#5da#8c7#86#817#
(32b,3b5) (175,20f) #83#260#37#1e2#2c6#383#33c#5d#1df#
(277,7a5) (517,7a5) #9a#72f#459#284#6#284#2fa#72f#76f#
(2417,2d8f) (f35,1f15) #2c0a#c36#23cf#10f6#1267#1ce#c36#1ce#10f6#a40#
(139f,3515) (19d,457) #2c77#15df#26c9#3136#6cb#1706#168#350c#3245#
(c3,187) (f35,1f15) #9e#dd#11#d4#135#5e#dd#5e#d4#a7#
(127,17bd) (175,20f) #1a8#6f3#b6d#113c#35b#146#918#73d#68a#
(66b,107f) (175,20f) #e40#a6b#197#a7c#c47#e0f#f4f#73d#d4b#
(107,179) (175,20f) #1b#156#11a#aa#b1#131#fa#20#2e#
(62b,1b77) (f35,1f15) #7bb#11fd#410#4e7#1adb#7ea#11fd#7ea#4e7#12a#
(1c5,973) (175,20f) #615#63d#6d#85b#732#270#3e3#44b#735#
(32b,d67) (1211,1f15) #beb#739#c11#739#739#90c#739#6a3#739#398#72#
(137,487) (19d,457) #18b#384#169#2b2#413#38a#321#2b0#3f9#
(93,385) (19d,457) #2f1#4d#126#328#278#34#d4#194#2b6#
(b23,25e5) (175,20f) #115d#185b#3f5#57f#12ff#c9a#d27#53#1f59#
(165d,1751) (175,20f) #500#1538#c43#99a#12e5#c80#f6d#bb6#cfb#
(21bf,2c27) (517,7a5) #d3f#f91#147a#1a8e#e4c#1a8e#278c#f91#c61#
(a49,e0f) (175,20f) #245#3f7#c45#ada#ac0#903#1b9#8af#704#
